RECORDED = 2022-01-14--13:07:11
radicl VERSION = 0.5.1
FIRMWARE REVISION = 1.46
HARDWARE REVISION = 1
MODEL NUMBER = 3
SAMPLE RATE = 16000
Sensor2,Sensor3,force
115,2369,18.190794653339253
114,2367,9.722905681919656
113,2366,26.64550862782926
114,2366,30.867947011051
113,2364,13.958501446242735
115,2366,35.08711806888459
112,2366,18.190794653339253
114,2366,47.725115369168634
115,2370,5.483998552503181
112,2364,13.958501446242735
112,2368,18.190794653339253
113,2366,30.867947011051
116,2366,18.190794653339253
113,2366,13.958501446242735
112,2366,22.419794111250667
113,2369,22.419794111250667
115,2369,13.958501446242735
113,2366,13.958501446242735
115,2370,18.190794653339253
112,2365,30.867947011051
114,2366,13.958501446242735
113,2367,22.419794111250667
114,2367,13.958501446242735
110,2366,22.419794111250667
116,2370,9.722905681919656
113,2365,22.419794111250667
113,2369,13.958501446242735
113,2366,18.190794653339253
111,2368,22.419794111250667
113,2367,13.958501446242735
112,2368,30.867947011051
115,2366,18.190794653339253
114,2366,18.190794653339253
111,2366,30.867947011051
112,2367,18.190794653339253
112,2369,13.958501446242735
113,2363,18.190794653339253
114,2370,1.2417712500027847
116,2366,13.958501446242735
114,2367,26.64550862782926
114,2367,18.190794653339253
114,2367,30.867947011051
112,2368,1.2417712500027847
112,2366,22.419794111250667
114,2368,18.190794653339253
114,2368,9.722905681919656
113,2370,9.722905681919656
113,2366,18.190794653339253
112,2370,18.190794653339253
111,2365,30.867947011051
111,2370,13.958501446242735
113,2367,13.958501446242735
111,2364,22.419794111250667
112,2370,13.958501446242735
114,2368,1.2417712500027847
113,2365,18.190794653339253
113,2366,18.190794653339253
112,2368,22.419794111250667
112,2367,1.2417712500027847
113,2365,22.419794111250667
111,2368,5.483998552503181
112,2367,18.190794653339253
112,2367,39.30303060918959
115,2363,13.958501446242735
113,2368,26.64550862782926
114,2366,22.419794111250667
113,2366,18.190794653339253
111,2368,22.419794111250667
114,2368,18.190794653339253
113,2369,18.190794653339253
114,2370,18.190794653339253
111,2368,18.190794653339253
113,2370,5.483998552503181
112,2367,18.190794653339253
112,2368,13.958501446242735
112,2368,1.2417712500027847
115,2366,18.190794653339253
112,2366,1.2417712500027847
113,2363,22.419794111250667
114,2364,13.958501446242735
112,2369,30.867947011051
116,2367,13.958501446242735
114,2367,26.64550862782926
116,2366,18.190794653339253
113,2368,35.08711806888459
112,2368,18.190794653339253
114,2364,13.958501446242735
113,2368,13.958501446242735
113,2366,22.419794111250667
114,2365,39.30303060918959
114,2365,9.722905681919656
113,2364,22.419794111250667
112,2365,13.958501446242735
113,2367,9.722905681919656
112,2367,13.958501446242735
114,2366,18.190794653339253
113,2368,18.190794653339253
114,2367,13.958501446242735
115,2368,35.08711806888459
113,2366,1.2417712500027847
110,2368,5.483998552503181
109,2368,18.190794653339253
112,2364,13.958501446242735
115,2367,13.958501446242735
112,2364,1.2417712500027847
112,2369,39.30303060918959
110,2368,9.722905681919656
109,2366,35.08711806888459
112,2368,13.958501446242735
113,2364,13.958501446242735
113,2366,13.958501446242735
112,2366,22.419794111250667
112,2368,5.483998552503181
113,2370,13.958501446242735
112,2366,9.722905681919656
114,2366,9.722905681919656
112,2368,30.867947011051
112,2368,5.483998552503181
111,2366,18.190794653339253
115,2367,5.483998552503181
112,2366,5.483998552503181
114,2368,26.64550862782926
112,2367,18.190794653339253
114,2363,9.722905681919656
115,2368,22.419794111250667
112,2366,22.419794111250667
112,2368,26.64550862782926
112,2367,13.958501446242735
112,2366,1.2417712500027847
110,2368,30.867947011051
115,2366,22.419794111250667
114,2367,35.08711806888459
114,2368,22.419794111250667
113,2363,18.190794653339253
117,2368,13.958501446242735
112,2367,9.722905681919656
112,2368,35.08711806888459
113,2366,18.190794653339253
114,2364,13.958501446242735
113,2367,13.958501446242735
113,2366,13.958501446242735
114,2368,39.30303060918959
113,2369,13.958501446242735
112,2366,26.64550862782926
112,2368,1.2417712500027847
112,2366,13.958501446242735
114,2366,9.722905681919656
112,2366,13.958501446242735
113,2366,18.190794653339253
113,2366,30.867947011051
113,2366,18.190794653339253
113,2367,26.64550862782926
112,2366,18.190794653339253
111,2368,22.419794111250667
113,2366,9.722905681919656
113,2364,13.958501446242735
113,2370,13.958501446242735
113,2364,18.190794653339253
114,2368,26.64550862782926
114,2368,-7.2526791059353855
114,2366,13.958501446242735
113,2366,13.958501446242735
113,2365,22.419794111250667
113,2365,13.958501446242735
118,2369,30.867947011051
112,2366,18.190794653339253
114,2362,18.190794653339253
113,2368,30.867947011051
110,2366,9.722905681919656
112,2365,30.867947011051
112,2367,13.958501446242735
114,2363,13.958501446242735
112,2369,9.722905681919656
112,2368,18.190794653339253
113,2366,18.190794653339253
114,2366,30.867947011051
114,2369,18.190794653339253
113,2365,18.190794653339253
113,2366,9.722905681919656
114,2366,22.419794111250667
114,2369,26.64550862782926
114,2365,22.419794111250667
113,2364,26.64550862782926
113,2368,30.867947011051
116,2366,18.190794653339253
114,2366,30.867947011051
115,2368,5.483998552503181
114,2365,22.419794111250667
111,2367,5.483998552503181
115,2366,22.419794111250667
112,2368,22.419794111250667
113,2367,26.64550862782926
115,2366,18.190794653339253
110,2364,9.722905681919656
112,2369,13.958501446242735
116,2366,18.190794653339253
112,2365,26.64550862782926
113,2366,26.64550862782926
113,2365,30.867947011051
113,2366,13.958501446242735
111,2367,22.419794111250667
112,2368,13.958501446242735
114,2369,18.190794653339253
112,2368,13.958501446242735
112,2369,9.722905681919656
112,2366,18.190794653339253
111,2368,30.867947011051
115,2366,22.419794111250667
111,2369,13.958501446242735
113,2368,18.190794653339253
112,2370,5.483998552503181
116,2369,13.958501446242735
112,2368,9.722905681919656
113,2368,9.722905681919656
114,2367,35.08711806888459
113,2365,5.483998552503181
113,2361,22.419794111250667
112,2366,9.722905681919656
112,2368,13.958501446242735
114,2367,13.958501446242735
112,2368,18.190794653339253
112,2369,35.08711806888459
112,2363,30.867947011051
115,2366,26.64550862782926
113,2366,13.958501446242735
114,2364,22.419794111250667
112,2366,30.867947011051
114,2370,5.483998552503181
112,2367,18.190794653339253
114,2366,18.190794653339253
114,2365,5.483998552503181
114,2367,13.958501446242735
114,2366,18.190794653339253
113,2368,13.958501446242735
113,2368,18.190794653339253
113,2367,22.419794111250667
114,2366,18.190794653339253
113,2362,18.190794653339253
115,2368,5.483998552503181
113,2368,30.867947011051
115,2370,1.2417712500027847
112,2365,5.483998552503181
114,2366,5.483998552503181
112,2366,22.419794111250667
112,2368,13.958501446242735
113,2368,13.958501446242735
113,2368,-7.2526791059353855
112,2367,5.483998552503181
112,2368,9.722905681919656
111,2369,13.958501446242735
113,2368,13.958501446242735
112,2367,13.958501446242735
111,2369,5.483998552503181
111,2366,22.419794111250667
113,2368,22.419794111250667
112,2368,30.867947011051
113,2367,13.958501446242735
110,2366,9.722905681919656
114,2367,9.722905681919656
113,2366,18.190794653339253
114,2366,26.64550862782926
113,2367,22.419794111250667
113,2366,30.867947011051
116,2368,22.419794111250667
113,2365,13.958501446242735
116,2364,18.190794653339253
114,2366,30.867947011051
114,2366,30.867947011051
111,2367,18.190794653339253
112,2364,9.722905681919656
112,2368,30.867947011051
117,2364,22.419794111250667
113,2366,18.190794653339253
113,2368,1.2417712500027847
112,2368,13.958501446242735
112,2366,13.958501446242735
112,2367,13.958501446242735
113,2367,22.419794111250667
113,2364,30.867947011051
114,2368,18.190794653339253
113,2364,9.722905681919656
114,2366,13.958501446242735
112,2369,1.2417712500027847
114,2367,47.725115369168634
115,2366,13.958501446242735
114,2364,18.190794653339253
114,2364,30.867947011051
110,2368,22.419794111250667
112,2364,39.30303060918959
112,2372,-15.760515849360672
112,2366,39.30303060918959
114,2378,-49.92713596874819
112,2368,26.64550862782926
115,2347,-7.2526791059353855
112,2366,18.190794653339253
115,2370,-3.003785033492022
112,2375,-32.81663035290694
112,2371,13.958501446242735
112,2345,176.6577641011172
112,2374,-15.760515849360672
111,2347,172.54444138328836
112,2366,30.867947011051
113,2380,-67.09259640504752
110,2361,72.91408125535963
115,2363,-88.62756094087672
112,2376,-45.64437957019982
113,2358,85.46552547000465
112,2345,201.27586868806975
118,2342,39.30303060918959
113,2379,-45.64437957019982
113,2362,68.72391976902145
111,2336,147.80187183373346
114,2384,-88.62756094087672
112,2385,-84.31357536998257
113,2353,97.98859428484138
114,2371,1.2417712500027847
114,2368,9.722905681919656
114,2365,5.483998552503181
112,2364,9.722905681919656
112,2353,51.93130520470004
114,2375,-45.64437957019982
113,2375,-15.760515849360672
112,2366,72.91408125535963
109,2345,188.98001320124604
112,2377,-105.91873078126082
115,2382,-62.79604845376889
114,2370,9.722905681919656
111,2358,102.15668601573998
118,2333,205.3686630400116
112,2382,-92.94506045950402
114,2376,-45.64437957019982
114,2364,60.33402382655186
113,2351,168.4281508099957
120,2353,-88.62756094087672
114,2388,-105.91873078126082
112,2386,-101.59063657177467
112,2377,-105.91873078126082
113,2362,89.64302281988785
110,2370,13.958501446242735
114,2365,9.722905681919656
114,2368,5.483998552503181
112,2366,9.722905681919656
111,2368,22.419794111250667
114,2365,18.190794653339253
114,2370,5.483998552503181
112,2368,9.722905681919656
112,2366,13.958501446242735
114,2367,18.190794653339253
114,2366,39.30303060918959
112,2367,22.419794111250667
112,2366,22.419794111250667
112,2367,13.958501446242735
111,2368,13.958501446242735
112,2368,26.64550862782926
115,2366,13.958501446242735
113,2364,22.419794111250667
116,2366,18.190794653339253
113,2368,30.867947011051
112,2368,35.08711806888459
109,2366,13.958501446242735
114,2364,18.190794653339253
113,2366,22.419794111250667
115,2370,-3.003785033492022
111,2366,9.722905681919656
112,2368,9.722905681919656
111,2366,30.867947011051
112,2364,18.190794653339253
113,2367,18.190794653339253
113,2366,22.419794111250667
115,2368,18.190794653339253
114,2370,1.2417712500027847
114,2368,26.64550862782926
116,2368,18.190794653339253
113,2363,9.722905681919656
114,2370,18.190794653339253
114,2366,13.958501446242735
113,2369,35.08711806888459
113,2368,13.958501446242735
112,2366,26.64550862782926
113,2368,9.722905681919656
113,2367,9.722905681919656
113,2366,22.419794111250667
112,2368,18.190794653339253
116,2367,35.08711806888459
114,2367,18.190794653339253
115,2364,22.419794111250667
113,2367,30.867947011051
115,2367,18.190794653339253
115,2364,30.867947011051
112,2370,1.2417712500027847
113,2364,9.722905681919656
113,2366,22.419794111250667
114,2366,22.419794111250667
114,2365,39.30303060918959
112,2366,22.419794111250667
117,2363,9.722905681919656
113,2368,9.722905681919656
114,2366,18.190794653339253
